simulation,treatment,run_id,seed,peak_pss_index,allocation_index,gc_p99_index,fault_rate_index,input_p99_index,controller_cpu_index
true,G0I0R1C1,20,20260829,90.0060,100.6201,85.3550,114.7062,97.9577,1.1108
true,G0I0R1C1,21,20260829,90.7975,102.8566,87.3527,117.2806,95.2307,1.1246
true,G0I0R1C1,22,20260829,91.1234,96.0097,91.5192,120.3464,97.9056,1.3374
true,G0I0R1C1,23,20260829,87.4822,101.2664,91.7106,129.1281,94.0868,1.2260
true,G0I0R1C1,24,20260829,91.4771,104.4910,93.3795,124.3392,94.9620,1.2350
true,G0I0R1C1,25,20260829,92.3107,98.4445,88.9722,114.0956,98.6968,1.1647
true,G0I0R1C1,26,20260829,92.3343,98.5465,87.5246,120.4591,97.7996,1.1276
true,G0I0R1C1,27,20260829,88.6667,102.0992,90.2296,127.3962,96.0102,1.1777
true,G0I0R1C1,28,20260829,92.3433,96.0152,87.9463,115.4980,99.4228,1.2776
true,G0I0R1C1,29,20260829,91.1146,99.0420,91.1210,122.3323,96.0899,1.2064
true,G0I0R1C1,30,20260829,91.0396,102.1503,89.4769,122.0206,94.3741,1.2342
true,G0I1R0C0,1,20260829,91.6898,73.1603,94.3325,110.5852,97.8438,0.2363
true,G0I1R0C0,2,20260829,93.1984,74.3898,98.7707,98.8585,96.8535,0.0000
true,G0I1R0C0,3,20260829,89.5316,71.4976,96.2596,92.2279,98.4576,0.1143
true,G0I1R0C0,4,20260829,95.8927,66.4172,96.7586,105.8627,99.5378,0.1173
true,G0I1R0C0,5,20260829,93.0269,71.3192,99.5630,88.0033,92.6152,0.0914
true,G0I1R0C0,6,20260829,93.2932,70.7178,94.0873,103.8538,93.6292,0.2340
true,G0I1R0C0,7,20260829,93.5565,76.7088,92.6350,112.1115,94.7517,0.0528
true,G0I1R0C0,8,20260829,92.8901,72.2942,90.1625,98.9996,96.5769,0.1296
true,G0I1R0C0,9,20260829,93.8974,73.9895,95.9526,96.1116,93.7919,0.0969
true,G0I1R0C0,10,20260829,97.3969,73.3229,91.4232,93.6060,94.8636,0.2193
true,G0I1R0C0,11,20260829,95.2994,72.7349,94.9703,98.2812,96.7904,0.0362
true,G0I1R0C0,12,20260829,91.4907,71.5410,90.4977,91.7317,98.5327,0.0806
true,G0I1R0C0,13,20260829,89.5067,74.2920,93.9217,107.1948,91.1811,0.1787
true,G0I1R0C0,14,20260829,91.7515,69.9510,95.0988,110.7633,101.2929,0.0000
true,G0I1R0C0,15,20260829,91.2827,74.4145,95.4014,98.2263,98.6691,0.0915
true,G0I1R0C0,16,20260829,90.7530,74.4647,94.3060,102.6269,93.4019,0.1970
true,G0I1R0C0,17,20260829,91.3039,73.2683,94.0366,99.7615,96.0803,0.0387
true,G0I1R0C0,18,20260829,92.1285,75.6093,96.1935,89.4507,95.4706,0.1668
true,G0I1R0C0,19,20260829,91.1171,78.3601,96.7059,103.2303,96.4030,0.2507
true,G0I1R0C0,20,20260829,90.5445,72.4662,96.4869,103.6534,95.0700,0.0047
true,G0I1R0C0,21,20260829,95.5773,69.8206,96.4278,92.6276,92.4970,0.1231
true,G0I1R0C0,22,20260829,91.1961,68.5296,93.4790,100.1067,97.8721,0.2669
true,G0I1R0C0,23,20260829,93.6748,71.3804,91.7693,97.7190,98.1892,0.0000
true,G0I1R0C0,24,20260829,88.5381,68.4012,95.8386,104.5740,95.0290,0.1902
true,G0I1R0C0,25,20260829,93.7237,71.4722,94.0381,96.0784,96.1604,0.1780
true,G0I1R0C0,26,20260829,94.7407,69.8870,97.6361,100.1260,100.8808,0.0000
true,G0I1R0C0,27,20260829,91.4251,72.8500,92.3576,110.0575,97.8040,0.0730
true,G0I1R0C0,28,20260829,91.7214,72.9036,95.0390,98.0744,98.0949,0.0000
true,G0I1R0C0,29,20260829,90.6074,71.1604,92.1491,95.3916,98.9095,0.1158
true,G0I1R0C0,30,20260829,92.1723,71.5255,97.8356,101.6193,95.1071,0.1727
true,G0I1R0C1,1,20260829,89.8016,73.1123,86.9975,90.3878,89.0192,1.0300
true,G0I1R0C1,2,20260829,89.8141,70.9524,86.5830,110.7090,93.3327,1.1777
true,G0I1R0C1,3,20260829,88.4835,70.5159,85.9397,105.4735,86.5466,1.0795
true,G0I1R0C1,4,20260829,91.2249,75.0476,86.1135,98.9626,84.9391,1.1972
true,G0I1R0C1,5,20260829,90.6418,69.4516,85.9751,106.5690,90.1330,1.0248
true,G0I1R0C1,6,20260829,88.7296,75.0225,83.9059,101.7791,84.5773,1.0245
true,G0I1R0C1,7,20260829,91.7929,71.2204,84.1305,91.0171,94.2851,1.1048
true,G0I1R0C1,8,20260829,91.4640,71.4966,88.8190,103.5609,83.7850,1.1486
true,G0I1R0C1,9,20260829,88.3267,73.1366,83.4113,95.3422,87.1075,1.0099
true,G0I1R0C1,10,20260829,92.9020,75.1212,87.5808,100.6017,90.3074,1.0492
true,G0I1R0C1,11,20260829,93.0379,72.8267,84.9630,96.5250,89.2650,1.1109
true,G0I1R0C1,12,20260829,90.9904,73.6995,84.7002,88.7003,87.7238,1.1879
true,G0I1R0C1,13,20260829,91.1406,71.9774,90.0406,98.5205,87.5720,1.0692
true,G0I1R0C1,14,20260829,88.9350,76.4113,86.5021,84.8674,88.6561,1.1610
true,G0I1R0C1,15,20260829,91.3765,67.9333,88.9681,108.2395,88.4775,1.0679
true,G0I1R0C1,16,20260829,92.4414,70.9037,88.6532,101.7338,93.6163,1.2333
true,G0I1R0C1,17,20260829,91.2825,72.2576,84.9020,102.2035,89.8435,0.9480
true,G0I1R0C1,18,20260829,92.5846,74.8496,83.9062,95.2654,89.6762,1.2596
true,G0I1R0C1,19,20260829,88.9970,67.8906,86.5524,98.7559,88.2146,1.1113
true,G0I1R0C1,20,20260829,90.3235,74.9862,90.0541,95.9675,88.0298,1.1834
true,G0I1R0C1,21,20260829,88.5285,68.6736,88.4712,101.6776,88.1032,1.0837
true,G0I1R0C1,22,20260829,89.3200,74.8627,84.3041,104.4437,86.7461,0.9200
true,G0I1R0C1,23,20260829,90.0469,72.2613,84.1740,107.4990,86.5641,1.0181
true,G0I1R0C1,24,20260829,88.8544,69.5516,88.6352,96.6349,89.5059,1.1444
true,G0I1R0C1,25,20260829,91.0646,71.3902,80.5160,102.0203,89.3801,1.1629
true,G0I1R0C1,26,20260829,88.3932,72.6451,89.8879,106.5737,89.3505,1.0472
true,G0I1R0C1,27,20260829,93.1562,70.2932,85.7530,100.1450,85.7504,1.1175
true,G0I1R0C1,28,20260829,91.4497,71.7518,82.9578,101.6364,87.2875,1.1813
true,G0I1R0C1,29,20260829,91.0862,70.5887,88.5829,102.9496,88.3405,1.0742
true,G0I1R0C1,30,20260829,93.2525,76.4208,87.8715,100.9640,91.2562,1.0011
true,G0I1R1C0,1,20260829,85.2085,71.3703,99.0701,172.7605,102.7408,0.3647
true,G0I1R1C0,2,20260829,80.0476,64.7116,97.7588,158.6480,97.5307,0.2668
true,G0I1R1C0,3,20260829,88.8172,72.8765,94.3319,157.2641,104.3414,0.2835
true,G0I1R1C0,4,20260829,83.7211,76.3773,98.3279,164.8127,99.8884,0.3565
true,G0I1R1C0,5,20260829,85.3096,72.1907,94.6233,152.9744,99.5560,0.3311
true,G0I1R1C0,6,20260829,80.5470,75.3760,96.0001,156.7308,101.1531,0.1903
true,G0I1R1C0,7,20260829,83.9664,78.0738,97.8534,160.9231,103.6534,0.1877
true,G0I1R1C0,8,20260829,87.4042,74.9848,98.3985,158.0981,100.2430,0.3279
true,G0I1R1C0,9,20260829,85.8238,70.2377,94.3407,154.5759,104.8446,0.3210
true,G0I1R1C0,10,20260829,86.8087,69.0639,97.2551,153.9502,100.2203,0.1797
true,G0I1R1C0,11,20260829,84.0500,69.3599,93.7340,152.9974,99.3109,0.3937
true,G0I1R1C0,12,20260829,86.4329,70.1823,94.1455,152.9931,102.7696,0.4145
true,G0I1R1C0,13,20260829,86.4663,72.4357,95.0793,158.5926,100.8306,0.3187
true,G0I1R1C0,14,20260829,81.4430,69.2949,95.2399,161.1532,99.1432,0.2202
true,G0I1R1C0,15,20260829,81.3455,70.6637,93.8599,154.4785,103.4248,0.2154
true,G0I1R1C0,16,20260829,89.3534,66.9856,98.4040,160.6446,104.6671,0.3858
true,G0I1R1C0,17,20260829,84.8843,70.8442,94.7139,160.1323,100.4662,0.1809
true,G0I1R1C0,18,20260829,86.1638,70.5311,92.6396,160.5074,99.4701,0.1980
true,G0I1R1C0,19,20260829,85.8173,69.9326,96.2811,162.9440,98.5550,0.2457
true,G0I1R1C0,20,20260829,85.6253,76.4351,95.2734,163.4715,103.9462,0.3157
true,G0I1R1C0,21,20260829,85.8052,75.0935,95.6090,150.6235,99.7518,0.4177
true,G0I1R1C0,22,20260829,84.2566,71.8859,97.3397,152.8988,101.4773,0.2983
true,G0I1R1C0,23,20260829,79.8835,70.7809,91.9652,152.1286,100.3301,0.1502
true,G0I1R1C0,24,20260829,86.1835,70.5538,93.2641,160.5639,103.9435,0.3881
true,G0I1R1C0,25,20260829,83.4996,72.1521,94.6877,151.4598,105.0877,0.3448
true,G0I1R1C0,26,20260829,89.5781,73.2344,96.2858,170.1322,98.8060,0.2598
true,G0I1R1C0,27,20260829,83.7276,74.7437,91.6195,158.9043,100.5443,0.3406
true,G0I1R1C0,28,20260829,85.0945,67.6629,99.7940,171.6868,99.2995,0.2574
true,G0I1R1C0,29,20260829,87.3163,70.7061,98.9314,152.0718,100.5949,0.4179
true,G0I1R1C0,30,20260829,85.9158,69.2412,95.7756,156.1560,102.1987,0.3462
true,G0I1R1C1,1,20260829,83.8018,67.9306,83.3128,138.5724,88.7556,1.3561
true,G0I1R1C1,2,20260829,80.3346,69.4509,85.7276,122.8856,91.9340,1.3391
true,G0I1R1C1,3,20260829,83.1019,70.0953,81.0806,117.5919,89.2169,1.3472
true,G0I1R1C1,4,20260829,81.7751,70.4879,89.1095,114.0990,93.4706,1.2756
true,G0I1R1C1,5,20260829,84.1090,69.1912,84.7000,125.8297,94.9060,1.3226
true,G0I1R1C1,6,20260829,83.4480,75.2048,88.0270,115.6975,92.1933,1.3532
true,G0I1R1C1,7,20260829,85.0381,76.9930,88.1044,125.7713,89.8847,1.1935
true,G0I1R1C1,8,20260829,80.3013,71.5087,87.5644,127.4657,90.7335,1.4045
true,G0I1R1C1,9,20260829,85.6163,73.1352,84.7551,125.2640,95.0760,1.2185
true,G0I1R1C1,10,20260829,79.8602,69.7749,86.4593,121.2711,94.2350,1.2573
true,G0I1R1C1,11,20260829,83.2483,69.9461,82.4483,121.6037,90.2794,1.3373
true,G0I1R1C1,12,20260829,83.2038,72.8170,86.9384,119.9000,94.1555,1.2532
true,G0I1R1C1,13,20260829,80.8126,71.9927,87.5416,126.7693,90.8730,1.2908
true,G0I1R1C1,14,20260829,84.2499,72.0763,89.3187,123.5023,92.2426,1.1987
true,G0I1R1C1,15,20260829,84.1650,71.3915,82.0723,131.6595,89.6041,1.1861
true,G0I1R1C1,16,20260829,82.9567,71.7522,82.8477,135.2543,92.8236,1.2670
true,G0I1R1C1,17,20260829,82.4716,73.5691,83.8602,115.5311,91.0899,1.4040
true,G0I1R1C1,18,20260829,82.4056,70.0937,87.1577,119.9425,93.8763,1.2411
true,G0I1R1C1,19,20260829,84.8187,71.4912,89.1831,126.1608,92.6908,1.2613
true,G0I1R1C1,20,20260829,83.8431,71.2993,85.9480,134.8157,91.5945,1.2974
true,G0I1R1C1,21,20260829,84.0873,70.0244,86.9295,132.6493,90.0653,1.2744
true,G0I1R1C1,22,20260829,82.4593,75.1358,83.2070,128.1991,95.2209,1.2554
true,G0I1R1C1,23,20260829,82.2826,74.4275,84.6741,137.4910,89.8578,1.4277
true,G0I1R1C1,24,20260829,82.9387,74.1391,81.4800,136.7059,91.8204,1.2659
true,G0I1R1C1,25,20260829,84.3323,76.9252,84.0175,131.8225,92.1768,1.2849
true,G0I1R1C1,26,20260829,80.6660,70.6554,85.8369,129.8033,91.0705,1.1699
true,G0I1R1C1,27,20260829,83.4765,73.4676,89.1319,137.4978,91.9699,1.3287
true,G0I1R1C1,28,20260829,84.5996,73.9889,90.5240,125.4774,89.3544,1.3129
true,G0I1R1C1,29,20260829,81.2320,73.3754,85.6573,120.9568,88.6565,1.3582
true,G0I1R1C1,30,20260829,82.7972,74.9857,82.0021,116.6227,88.0770,1.2477
true,G1I0R0C0,1,20260829,95.1783,100.5312,76.8947,112.3398,86.4424,0.2840
true,G1I0R0C0,2,20260829,97.2886,98.0090,74.5883,102.6910,88.8010,0.1262
true,G1I0R0C0,3,20260829,98.1180,97.5652,72.5127,101.2600,90.5532,0.0795
true,G1I0R0C0,4,20260829,93.0920,97.9229,77.2424,108.2831,89.0958,0.1657
true,G1I0R0C0,5,20260829,92.9089,101.3495,75.9972,109.6916,92.9210,0.1563
true,G1I0R0C0,6,20260829,91.3953,102.5625,75.3887,117.6374,91.3734,0.1695
true,G1I0R0C0,7,20260829,94.7509,102.9449,76.5512,106.6355,88.7125,0.0000
true,G1I0R0C0,8,20260829,88.6755,95.0370,75.5169,99.9227,87.8907,0.0923
true,G1I0R0C0,9,20260829,93.8289,96.9625,71.7021,92.3463,95.5282,0.1301
true,G1I0R0C0,10,20260829,95.1838,102.8076,76.9689,101.0612,88.7545,0.1275
true,G1I0R0C0,11,20260829,97.0551,103.7864,72.8084,110.9228,90.2324,0.1001
true,G1I0R0C0,12,20260829,96.0989,100.7480,75.5739,108.9082,89.0521,0.1506
true,G1I0R0C0,13,20260829,95.4396,101.7683,73.5672,100.1729,86.1894,0.0471
true,G1I0R0C0,14,20260829,92.2755,97.2084,76.1468,97.0439,94.5783,0.0296
true,G1I0R0C0,15,20260829,95.4599,101.7472,72.4419,104.5641,88.8184,0.1587
true,G1I0R0C0,16,20260829,93.3804,96.6680,72.8648,95.7759,90.2582,0.0529
true,G1I0R0C0,17,20260829,94.4653,100.0202,76.8677,94.1314,90.5588,0.0507
true,G1I0R0C0,18,20260829,97.3702,101.4829,76.7233,98.9628,91.8667,0.0000
true,G1I0R0C0,19,20260829,92.8678,97.9881,70.0943,103.4036,91.8182,0.0524
true,G1I0R0C0,20,20260829,96.2675,98.9142,75.8114,109.7563,92.1355,0.0868
true,G1I0R0C0,21,20260829,90.6924,99.3488,70.1685,103.5150,89.1183,0.0194
true,G1I0R0C0,22,20260829,98.2300,101.2081,73.8405,101.6693,86.1347,0.0982
true,G1I0R0C0,23,20260829,91.6976,99.3950,73.6151,103.5912,88.9043,0.0000
true,G1I0R0C0,24,20260829,95.2307,96.4810,78.3711,107.9693,90.0303,0.0490
true,G1I0R0C0,25,20260829,95.6763,101.0253,72.2150,102.7890,91.5257,0.0873
true,G1I0R0C0,26,20260829,92.3683,96.5772,74.2238,98.5026,96.7277,0.1786
true,G1I0R0C0,27,20260829,93.7125,101.0882,74.4090,117.9140,88.1137,0.0000
true,G1I0R0C0,28,20260829,94.9470,102.3768,75.7147,90.1100,89.3737,0.0612
true,G1I0R0C0,29,20260829,98.1101,101.1453,74.7788,104.2765,87.6474,0.1766
true,G1I0R0C0,30,20260829,94.2874,99.2352,72.0262,102.5808,91.9601,0.0162
true,G1I0R0C1,1,20260829,89.6453,99.9067,67.8360,94.5488,83.2233,1.1483
true,G1I0R0C1,2,20260829,87.0318,101.0006,64.4367,111.9064,82.5629,1.1221
true,G1I0R0C1,3,20260829,93.3886,98.3292,69.9729,98.4271,82.1429,1.0285
true,G1I0R0C1,4,20260829,91.8444,97.0787,65.3688,91.2313,82.5521,1.2587
true,G1I0R0C1,5,20260829,92.2499,100.1243,67.9921,102.9436,84.0387,1.0868
true,G1I0R0C1,6,20260829,93.1279,99.4800,61.9753,98.0004,81.5065,0.9830
true,G1I0R0C1,7,20260829,85.5036,98.3815,68.8888,92.2278,83.3829,1.0963
true,G1I0R0C1,8,20260829,91.8881,96.7557,64.3595,88.7915,85.5432,1.0569
true,G1I0R0C1,9,20260829,94.8400,100.9616,64.2579,96.6935,82.7648,1.2215
true,G1I0R0C1,10,20260829,93.2574,100.2626,70.5968,112.1325,87.4742,1.2315
true,G1I0R0C1,11,20260829,95.2785,94.5878,69.1964,103.4787,82.2193,1.0154
true,G1I0R0C1,12,20260829,91.9922,92.5319,67.6986,108.0147,84.0006,1.0718
true,G1I0R0C1,13,20260829,89.1529,101.0615,67.3639,99.1687,84.1887,1.0703
true,G1I0R0C1,14,20260829,93.4950,103.8180,70.3894,84.2116,81.9763,1.1411
true,G1I0R0C1,15,20260829,90.7596,103.6938,69.1428,86.6199,81.8837,1.1976
true,G1I0R0C1,16,20260829,90.4617,98.9547,66.6786,106.1294,81.5372,0.9219
true,G1I0R0C1,17,20260829,91.3356,103.3219,71.5745,100.2556,82.8754,1.0831
true,G1I0R0C1,18,20260829,90.1609,100.2522,64.1546,97.7005,81.6688,1.0800
true,G1I0R0C1,19,20260829,93.8715,97.8828,65.3257,98.8944,80.3809,1.1227
true,G1I0R0C1,20,20260829,91.4730,99.7590,66.1517,95.0205,79.5119,1.2832
true,G1I0R0C1,21,20260829,94.4627,102.8742,68.6722,90.1908,82.5449,1.0995
true,G1I0R0C1,22,20260829,90.8874,102.2542,70.1460,82.5350,86.1957,1.1828
true,G1I0R0C1,23,20260829,88.7998,100.3547,68.0305,106.6218,85.0820,1.0408
true,G1I0R0C1,24,20260829,90.1214,104.6356,72.3635,97.9797,85.1201,0.9890
true,G1I0R0C1,25,20260829,96.6582,100.0554,72.1421,94.6248,79.1524,1.0030
