data_status,synthetic,n_observed,scenario,platform_scenario,treatment,metric,measured_value,unit
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GI,input_p99_ms,68.8,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GI,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GIR,peak_pss_mb,189.6,MiB
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GIR,allocation_rate_mb_s,28.8,MiB/s
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GIR,gc_p99_ms,35.5,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GIR,fault_rate_s,128.0,faults/s
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GIR,input_p99_ms,91.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Static-GIR,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GIR,peak_pss_mb,252.8,MiB
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GIR,allocation_rate_mb_s,34.56,MiB/s
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GIR,gc_p99_ms,28.4,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GIR,fault_rate_s,160.0,faults/s
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GIR,input_p99_ms,72.8,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Static-GIR,controller_cpu_pct,0,percent
measured,false,30,planning_hypothesis,ARM32-scenario,Threshold-GIR,peak_pss_mb,187.2,MiB
measured,false,30,planning_hypothesis,ARM32-scenario,Threshold-GIR,allocation_rate_mb_s,28.8,MiB/s
measured,false,30,planning_hypothesis,ARM32-scenario,Threshold-GIR,gc_p99_ms,33.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Threshold-GIR,fault_rate_s,105.6,faults/s
measured,false,30,planning_hypothesis,ARM32-scenario,Threshold-GIR,input_p99_ms,85.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Threshold-GIR,controller_cpu_pct,0.5,percent
measured,false,30,planning_hypothesis,ARM64-scenario,Threshold-GIR,peak_pss_mb,249.6,MiB
measured,false,30,planning_hypothesis,ARM64-scenario,Threshold-GIR,allocation_rate_mb_s,34.56,MiB/s
measured,false,30,planning_hypothesis,ARM64-scenario,Threshold-GIR,gc_p99_ms,26.4,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Threshold-GIR,fault_rate_s,132.0,faults/s
measured,false,30,planning_hypothesis,ARM64-scenario,Threshold-GIR,input_p99_ms,68.0,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Threshold-GIR,controller_cpu_pct,0.5,percent
measured,false,30,planning_hypothesis,ARM32-scenario,EWMA-GIR,peak_pss_mb,184.8,MiB
measured,false,30,planning_hypothesis,ARM32-scenario,EWMA-GIR,allocation_rate_mb_s,28.8,MiB/s
measured,false,30,planning_hypothesis,ARM32-scenario,EWMA-GIR,gc_p99_ms,32.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,EWMA-GIR,fault_rate_s,100.0,faults/s
measured,false,30,planning_hypothesis,ARM32-scenario,EWMA-GIR,input_p99_ms,82.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,EWMA-GIR,controller_cpu_pct,0.7,percent
measured,false,30,planning_hypothesis,ARM64-scenario,EWMA-GIR,peak_pss_mb,246.4,MiB
measured,false,30,planning_hypothesis,ARM64-scenario,EWMA-GIR,allocation_rate_mb_s,34.56,MiB/s
measured,false,30,planning_hypothesis,ARM64-scenario,EWMA-GIR,gc_p99_ms,25.6,ms
measured,false,30,planning_hypothesis,ARM64-scenario,EWMA-GIR,fault_rate_s,125.0,faults/s
measured,false,30,planning_hypothesis,ARM64-scenario,EWMA-GIR,input_p99_ms,65.6,ms
measured,false,30,planning_hypothesis,ARM64-scenario,EWMA-GIR,controller_cpu_pct,0.7,percent
measured,false,30,planning_hypothesis,ARM32-scenario,Ridge-GIR,peak_pss_mb,182.4,MiB
measured,false,30,planning_hypothesis,ARM32-scenario,Ridge-GIR,allocation_rate_mb_s,28.8,MiB/s
measured,false,30,planning_hypothesis,ARM32-scenario,Ridge-GIR,gc_p99_ms,31.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Ridge-GIR,fault_rate_s,97.6,faults/s
measured,false,30,planning_hypothesis,ARM32-scenario,Ridge-GIR,input_p99_ms,80.0,ms
measured,false,30,planning_hypothesis,ARM32-scenario,Ridge-GIR,controller_cpu_pct,1.1,percent
measured,false,30,planning_hypothesis,ARM64-scenario,Ridge-GIR,peak_pss_mb,243.2,MiB
measured,false,30,planning_hypothesis,ARM64-scenario,Ridge-GIR,allocation_rate_mb_s,34.56,MiB/s
measured,false,30,planning_hypothesis,ARM64-scenario,Ridge-GIR,gc_p99_ms,24.8,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Ridge-GIR,fault_rate_s,122.0,faults/s
measured,false,30,planning_hypothesis,ARM64-scenario,Ridge-GIR,input_p99_ms,64.0,ms
measured,false,30,planning_hypothesis,ARM64-scenario,Ridge-GIR,controller_cpu_pct,1.1,percent
measured,false,30,no_benefit,ARM32-scenario,Stock,peak_pss_mb,240.0,MiB
measured,false,30,no_benefit,ARM32-scenario,Stock,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,no_benefit,ARM32-scenario,Stock,gc_p99_ms,50.0,ms
measured,false,30,no_benefit,ARM32-scenario,Stock,fault_rate_s,80.0,faults/s
measured,false,30,no_benefit,ARM32-scenario,Stock,input_p99_ms,100.0,ms
measured,false,30,no_benefit,ARM32-scenario,Stock,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM64-scenario,Stock,peak_pss_mb,320.0,MiB
measured,false,30,no_benefit,ARM64-scenario,Stock,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,no_benefit,ARM64-scenario,Stock,gc_p99_ms,40.0,ms
measured,false,30,no_benefit,ARM64-scenario,Stock,fault_rate_s,100.0,faults/s
measured,false,30,no_benefit,ARM64-scenario,Stock,input_p99_ms,80.0,ms
measured,false,30,no_benefit,ARM64-scenario,Stock,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM32-scenario,Static-G,peak_pss_mb,240.0,MiB
measured,false,30,no_benefit,ARM32-scenario,Static-G,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,no_benefit,ARM32-scenario,Static-G,gc_p99_ms,50.0,ms
measured,false,30,no_benefit,ARM32-scenario,Static-G,fault_rate_s,80.0,faults/s
measured,false,30,no_benefit,ARM32-scenario,Static-G,input_p99_ms,100.0,ms
measured,false,30,no_benefit,ARM32-scenario,Static-G,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM64-scenario,Static-G,peak_pss_mb,320.0,MiB
measured,false,30,no_benefit,ARM64-scenario,Static-G,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,no_benefit,ARM64-scenario,Static-G,gc_p99_ms,40.0,ms
measured,false,30,no_benefit,ARM64-scenario,Static-G,fault_rate_s,100.0,faults/s
measured,false,30,no_benefit,ARM64-scenario,Static-G,input_p99_ms,80.0,ms
measured,false,30,no_benefit,ARM64-scenario,Static-G,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM32-scenario,Static-GI,peak_pss_mb,240.0,MiB
measured,false,30,no_benefit,ARM32-scenario,Static-GI,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,no_benefit,ARM32-scenario,Static-GI,gc_p99_ms,50.0,ms
measured,false,30,no_benefit,ARM32-scenario,Static-GI,fault_rate_s,80.0,faults/s
measured,false,30,no_benefit,ARM32-scenario,Static-GI,input_p99_ms,100.0,ms
measured,false,30,no_benefit,ARM32-scenario,Static-GI,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM64-scenario,Static-GI,peak_pss_mb,320.0,MiB
measured,false,30,no_benefit,ARM64-scenario,Static-GI,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,no_benefit,ARM64-scenario,Static-GI,gc_p99_ms,40.0,ms
measured,false,30,no_benefit,ARM64-scenario,Static-GI,fault_rate_s,100.0,faults/s
measured,false,30,no_benefit,ARM64-scenario,Static-GI,input_p99_ms,80.0,ms
measured,false,30,no_benefit,ARM64-scenario,Static-GI,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM32-scenario,Static-GIR,peak_pss_mb,240.0,MiB
measured,false,30,no_benefit,ARM32-scenario,Static-GIR,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,no_benefit,ARM32-scenario,Static-GIR,gc_p99_ms,50.0,ms
measured,false,30,no_benefit,ARM32-scenario,Static-GIR,fault_rate_s,80.0,faults/s
measured,false,30,no_benefit,ARM32-scenario,Static-GIR,input_p99_ms,100.0,ms
measured,false,30,no_benefit,ARM32-scenario,Static-GIR,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM64-scenario,Static-GIR,peak_pss_mb,320.0,MiB
measured,false,30,no_benefit,ARM64-scenario,Static-GIR,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,no_benefit,ARM64-scenario,Static-GIR,gc_p99_ms,40.0,ms
measured,false,30,no_benefit,ARM64-scenario,Static-GIR,fault_rate_s,100.0,faults/s
measured,false,30,no_benefit,ARM64-scenario,Static-GIR,input_p99_ms,80.0,ms
measured,false,30,no_benefit,ARM64-scenario,Static-GIR,controller_cpu_pct,0,percent
measured,false,30,no_benefit,ARM32-scenario,Threshold-GIR,peak_pss_mb,240.0,MiB
measured,false,30,no_benefit,ARM32-scenario,Threshold-GIR,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,no_benefit,ARM32-scenario,Threshold-GIR,gc_p99_ms,50.0,ms
measured,false,30,no_benefit,ARM32-scenario,Threshold-GIR,fault_rate_s,80.0,faults/s
measured,false,30,no_benefit,ARM32-scenario,Threshold-GIR,input_p99_ms,100.0,ms
measured,false,30,no_benefit,ARM32-scenario,Threshold-GIR,controller_cpu_pct,0.5,percent
measured,false,30,no_benefit,ARM64-scenario,Threshold-GIR,peak_pss_mb,320.0,MiB
measured,false,30,no_benefit,ARM64-scenario,Threshold-GIR,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,no_benefit,ARM64-scenario,Threshold-GIR,gc_p99_ms,40.0,ms
measured,false,30,no_benefit,ARM64-scenario,Threshold-GIR,fault_rate_s,100.0,faults/s
measured,false,30,no_benefit,ARM64-scenario,Threshold-GIR,input_p99_ms,80.0,ms
measured,false,30,no_benefit,ARM64-scenario,Threshold-GIR,controller_cpu_pct,0.5,percent
measured,false,30,no_benefit,ARM32-scenario,EWMA-GIR,peak_pss_mb,240.0,MiB
measured,false,30,no_benefit,ARM32-scenario,EWMA-GIR,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,no_benefit,ARM32-scenario,EWMA-GIR,gc_p99_ms,50.0,ms
measured,false,30,no_benefit,ARM32-scenario,EWMA-GIR,fault_rate_s,80.0,faults/s
measured,false,30,no_benefit,ARM32-scenario,EWMA-GIR,input_p99_ms,100.0,ms
measured,false,30,no_benefit,ARM32-scenario,EWMA-GIR,controller_cpu_pct,0.7,percent
measured,false,30,no_benefit,ARM64-scenario,EWMA-GIR,peak_pss_mb,320.0,MiB
measured,false,30,no_benefit,ARM64-scenario,EWMA-GIR,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,no_benefit,ARM64-scenario,EWMA-GIR,gc_p99_ms,40.0,ms
measured,false,30,no_benefit,ARM64-scenario,EWMA-GIR,fault_rate_s,100.0,faults/s
measured,false,30,no_benefit,ARM64-scenario,EWMA-GIR,input_p99_ms,80.0,ms
measured,false,30,no_benefit,ARM64-scenario,EWMA-GIR,controller_cpu_pct,0.7,percent
measured,false,30,no_benefit,ARM32-scenario,Ridge-GIR,peak_pss_mb,240.0,MiB
measured,false,30,no_benefit,ARM32-scenario,Ridge-GIR,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,no_benefit,ARM32-scenario,Ridge-GIR,gc_p99_ms,50.0,ms
measured,false,30,no_benefit,ARM32-scenario,Ridge-GIR,fault_rate_s,80.0,faults/s
measured,false,30,no_benefit,ARM32-scenario,Ridge-GIR,input_p99_ms,100.0,ms
measured,false,30,no_benefit,ARM32-scenario,Ridge-GIR,controller_cpu_pct,1.1,percent
measured,false,30,no_benefit,ARM64-scenario,Ridge-GIR,peak_pss_mb,320.0,MiB
measured,false,30,no_benefit,ARM64-scenario,Ridge-GIR,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,no_benefit,ARM64-scenario,Ridge-GIR,gc_p99_ms,40.0,ms
measured,false,30,no_benefit,ARM64-scenario,Ridge-GIR,fault_rate_s,100.0,faults/s
measured,false,30,no_benefit,ARM64-scenario,Ridge-GIR,input_p99_ms,80.0,ms
measured,false,30,no_benefit,ARM64-scenario,Ridge-GIR,controller_cpu_pct,1.1,percent
measured,false,30,regression,ARM32-scenario,Stock,peak_pss_mb,240.0,MiB
measured,false,30,regression,ARM32-scenario,Stock,allocation_rate_mb_s,40.0,MiB/s
measured,false,30,regression,ARM32-scenario,Stock,gc_p99_ms,50.0,ms
measured,false,30,regression,ARM32-scenario,Stock,fault_rate_s,80.0,faults/s
measured,false,30,regression,ARM32-scenario,Stock,input_p99_ms,100.0,ms
measured,false,30,regression,ARM32-scenario,Stock,controller_cpu_pct,0,percent
measured,false,30,regression,ARM64-scenario,Stock,peak_pss_mb,320.0,MiB
measured,false,30,regression,ARM64-scenario,Stock,allocation_rate_mb_s,48.0,MiB/s
measured,false,30,regression,ARM64-scenario,Stock,gc_p99_ms,40.0,ms
measured,false,30,regression,ARM64-scenario,Stock,fault_rate_s,100.0,faults/s
measured,false,30,regression,ARM64-scenario,Stock,input_p99_ms,80.0,ms
measured,false,30,regression,ARM64-scenario,Stock,controller_cpu_pct,0,percent
measured,false,30,regression,ARM32-scenario,Static-G,peak_pss_mb,252.0,MiB
measured,false,30,regression,ARM32-scenario,Static-G,allocation_rate_mb_s,42.0,MiB/s
measured,false,30,regression,ARM32-scenario,Static-G,gc_p99_ms,55.0,ms
measured,false,30,regression,ARM32-scenario,Static-G,fault_rate_s,128.0,faults/s
measured,false,30,regression,ARM32-scenario,Static-G,input_p99_ms,120.0,ms
measured,false,30,regression,ARM32-scenario,Static-G,controller_cpu_pct,0,percent
measured,false,30,regression,ARM64-scenario,Static-G,peak_pss_mb,336.0,MiB
measured,false,30,regression,ARM64-scenario,Static-G,allocation_rate_mb_s,50.4,MiB/s
measured,false,30,regression,ARM64-scenario,Static-G,gc_p99_ms,44.0,ms
measured,false,30,regression,ARM64-scenario,Static-G,fault_rate_s,160.0,faults/s
measured,false,30,regression,ARM64-scenario,Static-G,input_p99_ms,96.0,ms
measured,false,30,regression,ARM64-scenario,Static-G,controller_cpu_pct,0,percent
measured,false,30,regression,ARM32-scenario,Static-GI,peak_pss_mb,252.0,MiB
measured,false,30,regression,ARM32-scenario,Static-GI,allocation_rate_mb_s,42.0,MiB/s
measured,false,30,regression,ARM32-scenario,Static-GI,gc_p99_ms,55.0,ms
measured,false,30,regression,ARM32-scenario,Static-GI,fault_rate_s,128.0,faults/s
measured,false,30,regression,ARM32-scenario,Static-GI,input_p99_ms,120.0,ms
measured,false,30,regression,ARM32-scenario,Static-GI,controller_cpu_pct,0,percent
measured,false,30,regression,ARM64-scenario,Static-GI,peak_pss_mb,336.0,MiB
measured,false,30,regression,ARM64-scenario,Static-GI,allocation_rate_mb_s,50.4,MiB/s
measured,false,30,regression,ARM64-scenario,Static-GI,gc_p99_ms,44.0,ms
measured,false,30,regression,ARM64-scenario,Static-GI,fault_rate_s,160.0,faults/s
measured,false,30,regression,ARM64-scenario,Static-GI,input_p99_ms,96.0,ms
measured,false,30,regression,ARM64-scenario,Static-GI,controller_cpu_pct,0,percent
measured,false,30,regression,ARM32-scenario,Static-GIR,peak_pss_mb,252.0,MiB
measured,false,30,regression,ARM32-scenario,Static-GIR,allocation_rate_mb_s,42.0,MiB/s
measured,false,30,regression,ARM32-scenario,Static-GIR,gc_p99_ms,55.0,ms
measured,false,30,regression,ARM32-scenario,Static-GIR,fault_rate_s,128.0,faults/s
measured,false,30,regression,ARM32-scenario,Static-GIR,input_p99_ms,120.0,ms
measured,false,30,regression,ARM32-scenario,Static-GIR,controller_cpu_pct,0,percent
measured,false,30,regression,ARM64-scenario,Static-GIR,peak_pss_mb,336.0,MiB
measured,false,30,regression,ARM64-scenario,Static-GIR,allocation_rate_mb_s,50.4,MiB/s
measured,false,30,regression,ARM64-scenario,Static-GIR,gc_p99_ms,44.0,ms
measured,false,30,regression,ARM64-scenario,Static-GIR,fault_rate_s,160.0,faults/s
measured,false,30,regression,ARM64-scenario,Static-GIR,input_p99_ms,96.0,ms
measured,false,30,regression,ARM64-scenario,Static-GIR,controller_cpu_pct,0,percent
measured,false,30,regression,ARM32-scenario,Threshold-GIR,peak_pss_mb,252.0,MiB
measured,false,30,regression,ARM32-scenario,Threshold-GIR,allocation_rate_mb_s,42.0,MiB/s
measured,false,30,regression,ARM32-scenario,Threshold-GIR,gc_p99_ms,55.0,ms
measured,false,30,regression,ARM32-scenario,Threshold-GIR,fault_rate_s,128.0,faults/s
measured,false,30,regression,ARM32-scenario,Threshold-GIR,input_p99_ms,120.0,ms
measured,false,30,regression,ARM32-scenario,Threshold-GIR,controller_cpu_pct,1.0,percent
measured,false,30,regression,ARM64-scenario,Threshold-GIR,peak_pss_mb,336.0,MiB
measured,false,30,regression,ARM64-scenario,Threshold-GIR,allocation_rate_mb_s,50.4,MiB/s
measured,false,30,regression,ARM64-scenario,Threshold-GIR,gc_p99_ms,44.0,ms
measured,false,30,regression,ARM64-scenario,Threshold-GIR,fault_rate_s,160.0,faults/s
measured,false,30,regression,ARM64-scenario,Threshold-GIR,input_p99_ms,96.0,ms
measured,false,30,regression,ARM64-scenario,Threshold-GIR,controller_cpu_pct,1.0,percent
measured,false,30,regression,ARM32-scenario,EWMA-GIR,peak_pss_mb,252.0,MiB
measured,false,30,regression,ARM32-scenario,EWMA-GIR,allocation_rate_mb_s,42.0,MiB/s
measured,false,30,regression,ARM32-scenario,EWMA-GIR,gc_p99_ms,55.0,ms
measured,false,30,regression,ARM32-scenario,EWMA-GIR,fault_rate_s,128.0,faults/s
measured,false,30,regression,ARM32-scenario,EWMA-GIR,input_p99_ms,120.0,ms
measured,false,30,regression,ARM32-scenario,EWMA-GIR,controller_cpu_pct,1.4,percent
measured,false,30,regression,ARM64-scenario,EWMA-GIR,peak_pss_mb,336.0,MiB
measured,false,30,regression,ARM64-scenario,EWMA-GIR,allocation_rate_mb_s,50.4,MiB/s
measured,false,30,regression,ARM64-scenario,EWMA-GIR,gc_p99_ms,44.0,ms
measured,false,30,regression,ARM64-scenario,EWMA-GIR,fault_rate_s,160.0,faults/s
measured,false,30,regression,ARM64-scenario,EWMA-GIR,input_p99_ms,96.0,ms
measured,false,30,regression,ARM64-scenario,EWMA-GIR,controller_cpu_pct,1.4,percent
measured,false,30,regression,ARM32-scenario,Ridge-GIR,peak_pss_mb,252.0,MiB
measured,false,30,regression,ARM32-scenario,Ridge-GIR,allocation_rate_mb_s,42.0,MiB/s
measured,false,30,regression,ARM32-scenario,Ridge-GIR,gc_p99_ms,55.0,ms
measured,false,30,regression,ARM32-scenario,Ridge-GIR,fault_rate_s,128.0,faults/s
measured,false,30,regression,ARM32-scenario,Ridge-GIR,input_p99_ms,120.0,ms
measured,false,30,regression,ARM32-scenario,Ridge-GIR,controller_cpu_pct,2.2,percent
measured,false,30,regression,ARM64-scenario,Ridge-GIR,peak_pss_mb,336.0,MiB
measured,false,30,regression,ARM64-scenario,Ridge-GIR,allocation_rate_mb_s,50.4,MiB/s
measured,false,30,regression,ARM64-scenario,Ridge-GIR,gc_p99_ms,44.0,ms
measured,false,30,regression,ARM64-scenario,Ridge-GIR,fault_rate_s,160.0,faults/s
measured,false,30,regression,ARM64-scenario,Ridge-GIR,input_p99_ms,96.0,ms
measured,false,30,regression,ARM64-scenario,Ridge-GIR,controller_cpu_pct,2.2,percent
