data_status,synthetic,n_runs,seed,scenario,platform_scenario,treatment,run_id,run_status,peak_pss_mb,allocation_rate_mb_s,gc_p99_ms,fault_rate_s,input_p99_ms,controller_cpu_pct
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,9,completed,208.046,27.531,31.124,74.724,77.369,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,10,completed,208.587,27.973,38.313,81.046,79.924,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,11,completed,209.672,28.533,37.446,87.664,92.399,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,12,completed,208.966,30.62,35.461,86.56,84.939,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,13,completed,200.716,28.475,35.331,70.686,92.662,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,14,completed,206.377,30.315,39.467,80.825,92.626,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,15,completed,197.066,25.954,30.71,71.474,87.938,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,16,completed,202.136,27.862,33.597,82.19,92.997,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,17,completed,209.601,27.798,35.0,79.359,86.501,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,18,completed,213.28,28.824,36.196,78.908,84.63,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,19,completed,211.28,28.453,39.485,79.567,85.835,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,20,completed,214.46,28.963,32.93,77.89,78.867,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,21,completed,205.389,28.157,35.198,75.815,87.408,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,22,completed,211.052,26.658,36.109,82.268,87.504,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,23,completed,213.768,30.776,38.362,81.487,84.135,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,24,completed,215.587,27.753,39.405,89.986,85.959,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,25,completed,214.007,28.656,39.87,88.067,89.292,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,26,completed,221.078,27.326,35.319,84.942,90.862,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,27,completed,209.599,30.802,35.632,75.188,90.186,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,28,completed,211.569,27.816,37.594,71.758,87.836,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,29,completed,204.803,28.628,34.875,75.393,85.914,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GI,30,completed,211.672,30.372,35.432,77.633,85.5,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,1,completed,284.659,34.687,27.711,101.151,65.661,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,2,completed,278.06,38.551,29.179,99.809,64.01,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,3,completed,275.147,33.618,30.131,94.693,72.811,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,4,completed,273.626,34.279,27.382,93.922,67.154,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,5,completed,283.904,35.39,26.548,92.481,69.987,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,6,completed,279.343,34.298,29.975,98.251,68.774,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,7,completed,280.461,32.907,27.817,93.584,70.161,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,8,completed,275.5,35.712,28.944,99.427,63.703,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,9,completed,288.022,32.709,28.575,113.065,65.198,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,10,completed,279.802,34.859,27.651,93.21,68.45,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,11,completed,274.683,32.93,30.537,97.732,72.932,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,12,completed,270.75,35.783,26.475,116.694,74.792,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,13,completed,274.659,34.931,26.892,95.17,63.075,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,14,completed,275.58,33.716,28.097,97.791,70.269,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,15,completed,275.728,35.14,27.883,110.098,69.181,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,16,completed,283.892,35.208,27.327,97.309,71.869,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,17,completed,260.279,34.908,28.291,94.986,69.561,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,18,completed,279.938,34.02,27.773,100.93,63.552,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,19,completed,273.389,32.694,28.619,94.933,69.1,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,20,completed,272.401,36.194,26.746,106.174,70.723,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,21,completed,271.615,36.594,29.222,102.145,67.722,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,22,completed,262.91,34.81,28.079,97.913,76.343,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,23,completed,272.663,33.764,28.512,104.69,76.636,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,24,completed,280.948,34.314,32.283,106.492,74.064,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,25,completed,286.109,36.632,29.75,97.777,70.886,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,26,completed,279.854,32.72,30.687,95.618,68.951,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,27,completed,277.396,33.512,31.171,99.888,66.626,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,28,completed,286.558,34.19,30.997,98.84,72.032,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,29,completed,276.223,36.415,30.085,105.861,66.767,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GI,30,completed,267.423,34.465,30.911,98.69,74.274,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,1,completed,193.181,29.164,35.317,112.051,90.577,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,2,completed,185.795,28.6,37.517,144.572,92.572,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,3,completed,186.179,28.28,36.347,117.31,96.953,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,4,completed,196.009,29.38,39.371,129.834,94.416,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,5,completed,189.402,30.235,35.669,128.629,92.345,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,6,completed,189.047,32.005,32.287,138.576,86.985,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,7,completed,192.05,28.958,33.47,129.753,96.033,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,8,completed,184.557,28.722,36.605,140.158,86.233,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,9,completed,187.42,29.866,36.364,128.167,95.469,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,10,completed,183.376,29.225,33.912,115.198,84.327,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,11,completed,194.447,29.45,39.003,128.447,76.48,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,12,completed,188.244,29.081,38.209,136.772,93.395,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,13,completed,193.399,28.546,35.902,125.103,103.359,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,14,completed,189.289,29.007,32.182,127.038,85.334,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,15,completed,186.653,27.812,36.577,127.694,93.727,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,16,completed,188.474,28.215,38.108,126.208,84.558,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,17,completed,189.298,26.969,37.286,120.174,84.634,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,18,completed,185.561,29.035,34.966,136.929,88.886,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,19,completed,193.658,28.998,37.517,140.796,80.12,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,20,completed,186.64,30.328,33.758,124.493,83.667,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,21,completed,191.99,30.657,34.488,133.093,93.674,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,22,completed,191.152,28.488,35.003,127.456,91.567,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,23,completed,186.088,29.203,33.6,131.833,83.516,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,24,completed,182.261,28.495,36.833,122.397,90.406,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,25,completed,191.864,29.848,39.181,126.669,83.241,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,26,completed,185.007,29.018,31.862,112.039,91.163,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,27,completed,184.808,27.246,38.013,126.02,93.139,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,28,completed,188.335,29.396,35.756,122.758,90.193,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,29,completed,186.631,25.866,36.185,125.885,90.279,0.0
measured,false,30,20250902,planning_hypothesis,ARM32-scenario,Static-GIR,30,completed,184.047,26.752,37.024,133.076,98.644,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GIR,1,completed,261.088,33.147,27.776,156.14,79.673,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GIR,2,completed,264.936,34.865,26.158,160.839,69.733,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GIR,3,completed,256.261,37.407,26.053,169.521,71.288,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GIR,4,completed,246.358,36.534,29.122,161.804,72.933,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GIR,5,completed,244.117,33.968,30.125,155.934,66.12,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GIR,6,completed,259.341,34.154,30.065,147.329,72.152,0.0
measured,false,30,20250902,planning_hypothesis,ARM64-scenario,Static-GIR,7,completed,258.064,32.85,26.114,146.911,63.964,0.0
