scenario,platform,treatment,seed,started,completed,failed,censored,source_file,source_sha256
regression,ARM32-scenario,Static-G,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM32-scenario,Static-GI,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM32-scenario,Static-GIR,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM32-scenario,Stock,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM32-scenario,Threshold-GIR,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM64-scenario,EWMA-GIR,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM64-scenario,Ridge-GIR,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM64-scenario,Static-G,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM64-scenario,Static-GI,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM64-scenario,Static-GIR,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM64-scenario,Stock,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
regression,ARM64-scenario,Threshold-GIR,20250902,30,30,0,0,absolute_results_30run.csv,8d9f631b56e8d10ca045394ea5ef2182b01f323e05e013897eca3e87822678d9
